question,answer
Maximum how many Compensatory Rests can be availed in a single stretch at a time by a non-executive employee?,A maximum of three days of Compensatory Rest may be availed in a single stretch at a time.
Within how many days Compensatory rest can be availed?,"Compensatory Rest should be availed within a period of 30 days, in lieu of which it is claimed."
"If Honorarium is paid for working on weekly rest day to an O&M employee, then will he/she be eligible to get compensatory rest/conveyance charge also?","Where honorarium is paid for working on weekly rest day, like exam duty etc., no Compensatory Rest/ conveyance charges will be admissible for O&M employees."
"If an employee is transferred on his/her own request, will he/she be eligible for CTG and other transfer facilities?","No, such facilities are admissible for transfers on administrative grounds only."
"For transfer of an employee from O&M to Project or Vice versa, who is the Competent Approving authority?","Approval of both the concerned Directors is required, in such cases."
"For transfer of an employee’s posting station within the jurisdiction of AM, who is the Competent Approving authority?",Dy. HoD is the Competent Approving Authority
How many days of joining time will an employee get when he/she has to join a new post within Delhi/NCR?,1 day joining time is admissible in such cases.
If the distance between an employee’s old HQ and new HQ is 1000 Km or less. How many days of joining time will he/she get?,10 days (in case of travel by air: 7 days) are admissible in such cases.
If the distance between an employee’s old HQ and new HQ is more than 2000 Km. How many days of joining time will he/she get?,15 days (in case of travel by air: 12 days) are admissible in such cases.
If an employee gets temporarily transferred (for a period not exceeding 180 days). Will he/she get joining time?,"No. 
Only the actual transit time is allowed, as in the case of journey on tour."
"If an employee has not availed joining time, as admissible. What will happen to the un-availed portion of joining time?","When the employee joins the new post without availing of full joining time, as admissible, the un-availed portion of joining time shall be credited to his / her earned leave account (non-encash able) subject to the restrictions on accumulation of earned leave."
Can an employee combine joining time with CL?,Joining time can be combined with any kind of leave except casual leave.
Can an employee avail joining time in parts?,"Joining time should be availed in a single stretch, within six months from the relieving date, on transfer. It cannot be, under any circumstances, be availed in parts."
"After how many years of service in DMRC, an employee becomes eligible for permission to pursue an online generic course?","The online courses, from the approved list, can be undertaken by any regular employee / contract employees who has put in 02 years’ services, irrespective of their being in any job profile. Prior permission would be required to pursue online courses though."
What is the maximum limit of fee reimbursement for online courses per block of 3 years?,"Fee reimbursement shall be restricted to Rs. 12,000/- per block of 3 years (from completion of one course)."
Will an employee get incentive after successful completion of online course?,"No incentive is admissible for completing the online course. Only the course fee, within the prescribed limit, is reimbursable, subject to completion of course."
"Upon immediate joining in DMRC, will the employee be eligible to seek NOC for outside employment?","For new recruits (who join DMRC, on direct recruitment basis), it will be a condition on their appointment that no application of theirs would be forwarded for outside employment until they complete their probation period and one-year regular service in the Corporation thereafter. 
On completion of the said period, only four applications per calendar year will be forwarded for outside employment in Govt. department / office. Out of four applications, only two can be for deputation basis."
What is the condition for forwarding application for outside employment for absorbed employees?,"For absorbed employees (employees who join DMRC, initially on deputation and are absorbed later), no application will be forwarded for outside employment until they complete two years of service after absorption. Thereafter four applications per calendar year will be forwarded for outside employment in Govt. department / office."
"For a deputations, how many applications of outside employment will be forwarded to their parent unit in one calendar year?","In case of deputationists, only one application per calendar year will be forwarded to their parent unit."
"If an employee wants to apply for private job in outside organization, will such application be forwarded by DMRC?","No.
Such provision is not applicable on request to apply for Private sector jobs."
"If an employee has not taken prior permission for forwarding of application, will he/she get an NOC at the time of interview?","“No Objection Certificate” will not be granted at the time of interview unless application is forwarded officially, through proper channel or permission for applying for outside employment is obtained before applying for the said job. Post facto consideration of such request is not allowed."
"In case of contract employees, will their application for outside employment be forwarded by Corporation?","In case of contractual employees, forwarding of application for outside employment is not required. In such cases, however intimation of outside employment application is mandatory."
How many years of service is required to pursue regular / full time education program?,"For pursuing regular/ full-time education program, the request will be considered along with the request for Study Leave. 
Study leave shall be granted to a regular employee who has satisfactorily completed the period of probation and has rendered not less than five years of regular continuous service, including the period of probation."
"If an employee is pursuing any educational course prior to the appointment in DMRC, can he/she continue?","The employees, who were already pursuing any educational course prior to the time of appointment in DMRC, will require to obtain permission to continue pursuing the same. However, permission shall not be granted to such candidates who are pursuing regular full-time educational courses and the remaining duration of such courses are required to be completed through full time mode only."
What are the conditions for inclusion of a qualification in service records / monetary incentive for qualification acquired after obtaining due permission?,Qualification/s acquired after obtaining due permission from Management shall be considered for inclusion in the service records / departmental promotions / monetary incentive etc. if attained with minimum 60% marks or an equitable grade thereof.
"If an employee is on contract, then after how many years of service, he/she will be eligible for permission for higher studies?","For employees on contract, permission for pursuing higher studies (part time/correspondence/distance learning mode only) shall be given, only on completion of their 3 years’ service in DMRC. 
However, they will not be eligible for any incentive for acquiring higher qualification."
Can permission be given to an employee to pursue more than one educational course at any given time?,No. Employee is not given permission to pursue two educational courses simultaneously.
What is the tenure of regularization of TADK?,The tenure for regularization of TADK is 03 years.
"If an employee has tendered the resignation, then during notice period of 90 days what kind of leaves he/she can avail?","Subsequent upon tendering resignation, an employee is allowed to avail only CL/RH during the notice period of 90 days."
"If an employee has tendered the resignation, then during notice period of 90 days what kind of leaves he/she can avail?","Subsequent upon tendering resignation, an employee is allowed to avail only CL/RH during the notice period of 90 days."
"If an employee has tendered the resignation, then during notice period of 90 days what kind of leaves he/she can avail?","Subsequent upon tendering resignation, an employee is allowed to avail only CL/RH during the notice period of 90 days."
"If an employee has tendered the resignation, then during notice period of 90 days what kind of leaves he/she can avail?","Subsequent upon tendering resignation, an employee is allowed to avail only CL/RH during the notice period of 90 days."
What is the notice period required for tendering resignation and seeking relieving from employment of DMRC?,The notice period required for tendering resignation and seeking relieving from employment of DMRC is 90 days
What is the notice period required for tendering resignation and seeking relieving from employment of DMRC?,The notice period required for tendering resignation and seeking relieving from employment of DMRC is 90 days
What is the notice period required for tendering resignation and seeking relieving from employment of DMRC?,The notice period required for tendering resignation and seeking relieving from employment of DMRC is 90 days
"If an employee requests for early relieving (i.e., before 90 days), then how he/she can get approval?","If employee requests for early relieving (i.e., before 90 days), they can be allowed to do so with the approval of the Competent Authority i.e., concerned Director, and by making payment equivalent to last drawn (Basic Pay + DA) for the balance shortfall period."
"If an employee requests for early relieving (i.e., before 90 days), then how he/she can get approval?","If employee requests for early relieving (i.e., before 90 days), they can be allowed to do so with the approval of the Competent Authority i.e., concerned Director, and by making payment equivalent to last drawn (Basic Pay + DA) for the balance shortfall period."
"If an employee requests for early relieving (i.e., before 90 days), then how he/she can get approval?","If employee requests for early relieving (i.e., before 90 days), they can be allowed to do so with the approval of the Competent Authority i.e., concerned Director, and by making payment equivalent to last drawn (Basic Pay + DA) for the balance shortfall period."
"If an employee wants to withdraw his/her request of resignation within notice period, can he/she be allowed to do this?","The employee can decide to withdraw the request of resignation, for genuine reasons during the notice period. DMRC reserves the right to accept the withdrawal or otherwise if Management approval for acceptance of resignation has been communicated to the employee."
"If an employee wants to withdraw his/her request of resignation within notice period, can he/she be allowed to do this?","The employee can decide to withdraw the request of resignation, for genuine reasons during the notice period. DMRC reserves the right to accept the withdrawal or otherwise if Management approval for acceptance of resignation has been communicated to the employee."
If a Differently Abled employee of Corporation resigns from the service of DMRC before completion of 03 years’ service period. Will he / she have to pay Surety Bond and applicable service tax?,"No. 
Exemption from these is provided to Differently Abled employees."
If a Differently Abled employee of Corporation resigns from the service of DMRC before completion of 03 years’ service period. Will he / she have to pay Surety Bond and applicable service tax?,"No. 
Exemption from these is provided to Differently Abled employees."
If a Differently Abled employee of Corporation resigns from the service of DMRC before completion of 03 years’ service period. Will he / she have to pay Surety Bond and applicable service tax?,"No. 
Exemption from these is provided to Differently Abled employees."
If a Differently Abled employee of Corporation resigns from the service of DMRC before completion of 03 years’ service period. Will he / she have to pay Surety Bond and applicable service tax?,"No. 
Exemption from these is provided to Differently Abled employees."
If a Differently Abled employee of Corporation resigns from the service of DMRC before completion of 03 years’ service period. Will he / she have to pay Surety Bond and applicable service tax?,"No. 
Exemption from these is provided to Differently Abled employees."
If an employee joins other Government department through proper channel. What kind of leaves can be transferred?,Transfer of the leave both Earned Leave (Encashable& Non-encashable) and Medical Leave (LHAP).
If an employee joins other Government department through proper channel. What kind of leaves can be transferred?,Transfer of the leave both Earned Leave (Encashable& Non-encashable) and Medical Leave (LHAP).
If an employee joins other Government department through proper channel. What kind of leaves can be transferred?,Transfer of the leave both Earned Leave (Encashable& Non-encashable) and Medical Leave (LHAP).
If an employee joins other Government department through proper channel. What kind of leaves can be transferred?,Transfer of the leave both Earned Leave (Encashable& Non-encashable) and Medical Leave (LHAP).
If an employee joins other Government department through proper channel. What kind of leaves can be transferred?,Transfer of the leave both Earned Leave (Encashable& Non-encashable) and Medical Leave (LHAP).
The seniority in the grade for an employee who joined DMRC on contract basis is counted from which date?,Seniority will be will counted after applying 70% post service benefits.
The seniority in the grade for an employee who joined DMRC on contract basis is counted from which date?,Seniority will be will counted after applying 70% post service benefits.
The seniority in the grade for an employee who joined DMRC on contract basis is counted from which date?,Seniority will be will counted after applying 70% post service benefits.
The seniority in the grade for an employee who joined DMRC on contract basis is counted from which date?,Seniority will be will counted after applying 70% post service benefits.
"In case an employee requests for grant of additional joining time (than permissible days), who is the Competent Authority to decide on such request?","MD is the Competent Authority, to consider such requests."
"In case an employee requests for grant of additional joining time (than permissible days), who is the Competent Authority to decide on such request?","MD is the Competent Authority, to consider such requests."
"In case an employee requests for grant of additional joining time (than permissible days), who is the Competent Authority to decide on such request?","MD is the Competent Authority, to consider such requests."
"In case an employee requests for grant of additional joining time (than permissible days), who is the Competent Authority to decide on such request?","MD is the Competent Authority, to consider such requests."
"In case an employee requests for grant of additional joining time (than permissible days), who is the Competent Authority to decide on such request?","MD is the Competent Authority, to consider such requests."
An employee selected against an Advt. dated 2016 joined DMRC in May 2017 due to some reasons and such extension was granted to him by Competent Authority. Another employee selected for the same post against an Advt. dated Jan 2017 joined DMRC in March 2017. Which of the two employees will be senior?,"Candidates selected for appointment at an earlier selection shall be senior to those selected later, irrespective of date of joining within the stipulated period."
An employee selected against an Advt. dated 2016 joined DMRC in May 2017 due to some reasons and such extension was granted to him by Competent Authority. Another employee selected for the same post against an Advt. dated Jan 2017 joined DMRC in March 2017. Which of the two employees will be senior?,"Candidates selected for appointment at an earlier selection shall be senior to those selected later, irrespective of date of joining within the stipulated period."
An employee selected against an Advt. dated 2016 joined DMRC in May 2017 due to some reasons and such extension was granted to him by Competent Authority. Another employee selected for the same post against an Advt. dated Jan 2017 joined DMRC in March 2017. Which of the two employees will be senior?,"Candidates selected for appointment at an earlier selection shall be senior to those selected later, irrespective of date of joining within the stipulated period."
An employee selected against an Advt. dated 2016 joined DMRC in May 2017 due to some reasons and such extension was granted to him by Competent Authority. Another employee selected for the same post against an Advt. dated Jan 2017 joined DMRC in March 2017. Which of the two employees will be senior?,"Candidates selected for appointment at an earlier selection shall be senior to those selected later, irrespective of date of joining within the stipulated period."
An employee selected against an Advt. dated 2016 joined DMRC in May 2017 due to some reasons and such extension was granted to him by Competent Authority. Another employee selected for the same post against an Advt. dated Jan 2017 joined DMRC in March 2017. Which of the two employees will be senior?,"Candidates selected for appointment at an earlier selection shall be senior to those selected later, irrespective of date of joining within the stipulated period."
"Two employees, competing for the same post, secure the same marks in the DPC. How will their seniority be determined?","In case two or more candidates securing same number in the aggregate, their relative merit position for the purpose of empanelment may be determined on the basis of their relative seniority in the feeder grade. The same logic will be applied to fill up the last vacancy."
"Two employees, competing for the same post, secure the same marks in the DPC. How will their seniority be determined?","In case two or more candidates securing same number in the aggregate, their relative merit position for the purpose of empanelment may be determined on the basis of their relative seniority in the feeder grade. The same logic will be applied to fill up the last vacancy."
"Two employees, competing for the same post, secure the same marks in the DPC. How will their seniority be determined?","In case two or more candidates securing same number in the aggregate, their relative merit position for the purpose of empanelment may be determined on the basis of their relative seniority in the feeder grade. The same logic will be applied to fill up the last vacancy."
"Two employees, competing for the same post, secure the same marks in the DPC. How will their seniority be determined?","In case two or more candidates securing same number in the aggregate, their relative merit position for the purpose of empanelment may be determined on the basis of their relative seniority in the feeder grade. The same logic will be applied to fill up the last vacancy."
On what basis the seniority of employees who are transferred on their promotion is determined?,"The seniority of employees of DMRC promoted to higher posts shall be maintained as per the panel seniority position, irrespective of the date of assumption of charge of the higher post. This shall be subject to the condition that they assume the charge of the higher post within a period of 06 (six) months, from the date of issuance of the promotion order."
On what basis the seniority of employees who are transferred on their promotion is determined?,"The seniority of employees of DMRC promoted to higher posts shall be maintained as per the panel seniority position, irrespective of the date of assumption of charge of the higher post. This shall be subject to the condition that they assume the charge of the higher post within a period of 06 (six) months, from the date of issuance of the promotion order."
On what basis the seniority of employees who are transferred on their promotion is determined?,"The seniority of employees of DMRC promoted to higher posts shall be maintained as per the panel seniority position, irrespective of the date of assumption of charge of the higher post. This shall be subject to the condition that they assume the charge of the higher post within a period of 06 (six) months, from the date of issuance of the promotion order."
Self-Appraisal in the APAR is required to be filled by employees at which level?,"All employees are required to submit their self-appraisal, to summarize their achievements during the year under review including specialachievements (if any)."
Self-Appraisal in the APAR is required to be filled by employees at which level?,"All employees are required to submit their self-appraisal, to summarize their achievements during the year under review including specialachievements (if any)."
Self-Appraisal in the APAR is required to be filled by employees at which level?,"All employees are required to submit their self-appraisal, to summarize their achievements during the year under review including specialachievements (if any)."
The APAR of an HOD under the control of two Directors (Administrative control and Functional control) is required to be signed by which Director?,It is mandatory that their APAR is countersigned by the administrative as well as functional Director.
The APAR of an HOD under the control of two Directors (Administrative control and Functional control) is required to be signed by which Director?,It is mandatory that their APAR is countersigned by the administrative as well as functional Director.
The APAR of an HOD under the control of two Directors (Administrative control and Functional control) is required to be signed by which Director?,It is mandatory that their APAR is countersigned by the administrative as well as functional Director.
The APAR of an HOD under the control of two Directors (Administrative control and Functional control) is required to be signed by which Director?,It is mandatory that their APAR is countersigned by the administrative as well as functional Director.
The APAR of an HOD under the control of two Directors (Administrative control and Functional control) is required to be signed by which Director?,It is mandatory that their APAR is countersigned by the administrative as well as functional Director.
"If an employee completes a Higher Education course, after obtaining NOC from DMRC and secures less than 60% marks, will he / she still be eligible for grant of incentive on acquiring such qualification.","No. 
Only the qualification will be added in the service records as incentive is applicable in only those cases, where employee secures more than 60% marks."
"If an employee completes a Higher Education course, after obtaining NOC from DMRC and secures less than 60% marks, will he / she still be eligible for grant of incentive on acquiring such qualification.","No. 
Only the qualification will be added in the service records as incentive is applicable in only those cases, where employee secures more than 60% marks."
"If an employee completes a Higher Education course, after obtaining NOC from DMRC and secures less than 60% marks, will he / she still be eligible for grant of incentive on acquiring such qualification.","No. 
Only the qualification will be added in the service records as incentive is applicable in only those cases, where employee secures more than 60% marks."
"If an employee completes a Higher Education course, after obtaining NOC from DMRC and secures less than 60% marks, will he / she still be eligible for grant of incentive on acquiring such qualification.","No. 
Only the qualification will be added in the service records as incentive is applicable in only those cases, where employee secures more than 60% marks."
"If an employee completes a Higher Education course, after obtaining NOC from DMRC and secures less than 60% marks, will he / she still be eligible for grant of incentive on acquiring such qualification.","No. 
Only the qualification will be added in the service records as incentive is applicable in only those cases, where employee secures more than 60% marks."
The Indemnity Bond required to be filled by employee seeking incentive on completion of higher education course requires the employee to be in DMRC’s service for how many years?,It requires the employee to be in DMRC’s service for atleast 02 years.
The Indemnity Bond required to be filled by employee seeking incentive on completion of higher education course requires the employee to be in DMRC’s service for how many years?,It requires the employee to be in DMRC’s service for atleast 02 years.
The Indemnity Bond required to be filled by employee seeking incentive on completion of higher education course requires the employee to be in DMRC’s service for how many years?,It requires the employee to be in DMRC’s service for atleast 02 years.
"Does an Immovable Property owned / purchased by spouse of employee, using their own funds and in their own name, requires to be mentioned in the APR?","No.
Such Immovable property details are not required to be mentioned in the APR."
"Does an Immovable Property owned / purchased by spouse of employee, using their own funds and in their own name, requires to be mentioned in the APR?","No.
Such Immovable property details are not required to be mentioned in the APR."
"Does an Immovable Property owned / purchased by spouse of employee, using their own funds and in their own name, requires to be mentioned in the APR?","No.
Such Immovable property details are not required to be mentioned in the APR."
"Does an Immovable Property owned / purchased by spouse of employee, using their own funds and in their own name, requires to be mentioned in the APR?","No.
Such Immovable property details are not required to be mentioned in the APR."
"Does an Immovable Property owned / purchased by spouse of employee, using their own funds and in their own name, requires to be mentioned in the APR?","No.
Such Immovable property details are not required to be mentioned in the APR."
"Upon Resignation from DMRC to join another Govt. Organization, through proper channel, with less than 5 years’ service in DMRC, can the Gratuity be transferred to that other Govt. Organization?","Transfer of Gratuity, even if, service is less than 5 years in DMRC, if, employee joins other Government organization through proper channel their service is treated as continuous service and all benefits are transferable.
An undertaking from the prospective employer, i.e., other Government organization, should also be taken that if the employee resigns from there, before completing 5 years (DMRC service put together) the gratuity paid will be refunded to DMRC."
"Upon Resignation from DMRC to join another Govt. Organization, through proper channel, with less than 5 years’ service in DMRC, can the Gratuity be transferred to that other Govt. Organization?","Transfer of Gratuity, even if, service is less than 5 years in DMRC, if, employee joins other Government organization through proper channel their service is treated as continuous service and all benefits are transferable.
An undertaking from the prospective employer, i.e., other Government organization, should also be taken that if the employee resigns from there, before completing 5 years (DMRC service put together) the gratuity paid will be refunded to DMRC."
"Upon Resignation from DMRC to join another Govt. Organization, through proper channel, with less than 5 years’ service in DMRC, can the Gratuity be transferred to that other Govt. Organization?","Transfer of Gratuity, even if, service is less than 5 years in DMRC, if, employee joins other Government organization through proper channel their service is treated as continuous service and all benefits are transferable.
An undertaking from the prospective employer, i.e., other Government organization, should also be taken that if the employee resigns from there, before completing 5 years (DMRC service put together) the gratuity paid will be refunded to DMRC."
"Upon Resignation from DMRC to join another Govt. Organization, through proper channel, with less than 5 years’ service in DMRC, can the Gratuity be transferred to that other Govt. Organization?","Transfer of Gratuity, even if, service is less than 5 years in DMRC, if, employee joins other Government organization through proper channel their service is treated as continuous service and all benefits are transferable.
An undertaking from the prospective employer, i.e., other Government organization, should also be taken that if the employee resigns from there, before completing 5 years (DMRC service put together) the gratuity paid will be refunded to DMRC."
"Upon Resignation from DMRC to join another Govt. Organization, through proper channel, with less than 5 years’ service in DMRC, can the Gratuity be transferred to that other Govt. Organization?","Transfer of Gratuity, even if, service is less than 5 years in DMRC, if, employee joins other Government organization through proper channel their service is treated as continuous service and all benefits are transferable.
An undertaking from the prospective employer, i.e., other Government organization, should also be taken that if the employee resigns from there, before completing 5 years (DMRC service put together) the gratuity paid will be refunded to DMRC."
"Under Review of service, the premature removal of an Executive from service of DMRC requires whose approval?","The premature removal of an Executive from service of DMRC, under this clause, shall require the approval of the Board of Directors."
"Under Review of service, the premature removal of an Executive from service of DMRC requires whose approval?","The premature removal of an Executive from service of DMRC, under this clause, shall require the approval of the Board of Directors."
"Under Review of service, the premature removal of an Executive from service of DMRC requires whose approval?","The premature removal of an Executive from service of DMRC, under this clause, shall require the approval of the Board of Directors."
The termination process of an employee may be initiated if he / she remains on an unauthorized leave of how many days?,This process may be initiated if an employee remains on unauthorized absence for 60 days or more days
The termination process of an employee may be initiated if he / she remains on an unauthorized leave of how many days?,This process may be initiated if an employee remains on unauthorized absence for 60 days or more days
"What is the minimum duration for which the Reporting / Reviewing Authority must have supervised the work of an employee, to be able to be the Reporting / Reviewing Authority in APAR?","APAR to be written by the Reporting Officer immediately superior to the employee concerned and reviewed by the next higher authority. In both cases, they should have supervised the work of employee for not less than three months."
"What is the minimum duration for which the Reporting / Reviewing Authority must have supervised the work of an employee, to be able to be the Reporting / Reviewing Authority in APAR?","APAR to be written by the Reporting Officer immediately superior to the employee concerned and reviewed by the next higher authority. In both cases, they should have supervised the work of employee for not less than three months."
"What is the minimum duration for which the Reporting / Reviewing Authority must have supervised the work of an employee, to be able to be the Reporting / Reviewing Authority in APAR?","APAR to be written by the Reporting Officer immediately superior to the employee concerned and reviewed by the next higher authority. In both cases, they should have supervised the work of employee for not less than three months."
"What is the minimum duration for which the Reporting / Reviewing Authority must have supervised the work of an employee, to be able to be the Reporting / Reviewing Authority in APAR?","APAR to be written by the Reporting Officer immediately superior to the employee concerned and reviewed by the next higher authority. In both cases, they should have supervised the work of employee for not less than three months."
What is the periodicity of APAR?,"The periodicity of APAR is - 1st April to 31st March, every year."
What is the periodicity of APAR?,"The periodicity of APAR is - 1st April to 31st March, every year."
When is the APR required to be filled?,"APR is required to be filled on 31st Dec, every year."
When is the APR required to be filled?,"APR is required to be filled on 31st Dec, every year."
Do all employees are required to fill the APR?,"No.
APR is required to be filled by Executives of DMRC [Including Direct recruits / Deputationists / Contractual/Post Retirement Contractual Engagement]"
Do all employees are required to fill the APR?,"No.
APR is required to be filled by Executives of DMRC [Including Direct recruits / Deputationists / Contractual/Post Retirement Contractual Engagement]"
"For applying for all jobs advertised by UPSC, only an intimation to DMRC is required or prior permission shall be obtained?","Applications for the Civil Services Examination, Engineering Services Examination, Indian Forest Service Examination, Indian Economic Service/Indian Statistical Examination only, as advertised by the UPSC, can be sent directly by the employee under prior intimation to the HR deptt., through the concerned HOD. 
Such applications shall not be counted towards the limit of 04 applications for outside employment, per calendar year. 
All other posts advertised by the UPSC, or, other service commissions, etc., shall be counted towards the limit of 04 applications for outside employment, per calendar year."
"For applying for all jobs advertised by UPSC, only an intimation to DMRC is required or prior permission shall be obtained?","Applications for the Civil Services Examination, Engineering Services Examination, Indian Forest Service Examination, Indian Economic Service/Indian Statistical Examination only, as advertised by the UPSC, can be sent directly by the employee under prior intimation to the HR deptt., through the concerned HOD. 
Such applications shall not be counted towards the limit of 04 applications for outside employment, per calendar year. 
All other posts advertised by the UPSC, or, other service commissions, etc., shall be counted towards the limit of 04 applications for outside employment, per calendar year."
"For applying for all jobs advertised by UPSC, only an intimation to DMRC is required or prior permission shall be obtained?","Applications for the Civil Services Examination, Engineering Services Examination, Indian Forest Service Examination, Indian Economic Service/Indian Statistical Examination only, as advertised by the UPSC, can be sent directly by the employee under prior intimation to the HR deptt., through the concerned HOD. 
Such applications shall not be counted towards the limit of 04 applications for outside employment, per calendar year. 
All other posts advertised by the UPSC, or, other service commissions, etc., shall be counted towards the limit of 04 applications for outside employment, per calendar year."
"For applying for all jobs advertised by UPSC, only an intimation to DMRC is required or prior permission shall be obtained?","Applications for the Civil Services Examination, Engineering Services Examination, Indian Forest Service Examination, Indian Economic Service/Indian Statistical Examination only, as advertised by the UPSC, can be sent directly by the employee under prior intimation to the HR deptt., through the concerned HOD. 
Such applications shall not be counted towards the limit of 04 applications for outside employment, per calendar year. 
All other posts advertised by the UPSC, or, other service commissions, etc., shall be counted towards the limit of 04 applications for outside employment, per calendar year."
"Who are exempted from the DMRC Conduct, Discipline and Appeal Rules?","a.    Those in casual employment or paid from contingencies, and,  b.   Those who are inducted on Contract (Re-Employment, Retainership basis, Consultant, Advisor, Post Retirement Contractual Engagement, Contract)"
"Who are exempted from the DMRC Conduct, Discipline and Appeal Rules?","a.    Those in casual employment or paid from contingencies, and,  b.   Those who are inducted on Contract (Re-Employment, Retainership basis, Consultant, Advisor, Post Retirement Contractual Engagement, Contract)"
"Who are exempted from the DMRC Conduct, Discipline and Appeal Rules?","a.    Those in casual employment or paid from contingencies, and,  b.   Those who are inducted on Contract (Re-Employment, Retainership basis, Consultant, Advisor, Post Retirement Contractual Engagement, Contract)"
"Who are exempted from the DMRC Conduct, Discipline and Appeal Rules?","a.    Those in casual employment or paid from contingencies, and,  b.   Those who are inducted on Contract (Re-Employment, Retainership basis, Consultant, Advisor, Post Retirement Contractual Engagement, Contract)"
"Family in relation to an employee includes as per the DMRC Conduct, Discipline and Appeal Rules?","a.    Employee’s Spouse, b.   Son (below the age of 25 years or till he gets married or employed, whichever is earlier), c.    Unmarried Daughter but not employed and dependent on the employee, d.   Parents of the employee who are normally residing with him/her and wholly dependent upon the employee and the monthly combined income of the parents is nor more than 15% of the Basic Pay of the DMRC employee concerned or Rs. 9000/- plus dearness relief thereon, whichever is more"
"Family in relation to an employee includes as per the DMRC Conduct, Discipline and Appeal Rules?","a.    Employee’s Spouse, b.   Son (below the age of 25 years or till he gets married or employed, whichever is earlier), c.    Unmarried Daughter but not employed and dependent on the employee, d.   Parents of the employee who are normally residing with him/her and wholly dependent upon the employee and the monthly combined income of the parents is nor more than 15% of the Basic Pay of the DMRC employee concerned or Rs. 9000/- plus dearness relief thereon, whichever is more"
"Family in relation to an employee includes as per the DMRC Conduct, Discipline and Appeal Rules?","a.    Employee’s Spouse, b.   Son (below the age of 25 years or till he gets married or employed, whichever is earlier), c.    Unmarried Daughter but not employed and dependent on the employee, d.   Parents of the employee who are normally residing with him/her and wholly dependent upon the employee and the monthly combined income of the parents is nor more than 15% of the Basic Pay of the DMRC employee concerned or Rs. 9000/- plus dearness relief thereon, whichever is more"
"Family in relation to an employee includes as per the DMRC Conduct, Discipline and Appeal Rules?","a.    Employee’s Spouse, b.   Son (below the age of 25 years or till he gets married or employed, whichever is earlier), c.    Unmarried Daughter but not employed and dependent on the employee, d.   Parents of the employee who are normally residing with him/her and wholly dependent upon the employee and the monthly combined income of the parents is nor more than 15% of the Basic Pay of the DMRC employee concerned or Rs. 9000/- plus dearness relief thereon, whichever is more"
What is the General Conduct which is to be observed by every employee?,Every employee of the Corporation shall at all times: - a.    maintain absolute integrity b.   maintain devotion to duty c.    do nothing which is unbecoming of a public servant.
What is the General Conduct which is to be observed by every employee?,Every employee of the Corporation shall at all times: - a.    maintain absolute integrity b.   maintain devotion to duty c.    do nothing which is unbecoming of a public servant.
